JDK RS Momentum,JDK RS Ratio,Ticker,Price,Change
100.18954500720604,100.50628910329789,SPXE,96.43,2.9
98.941304082637,99.96167284987065,SPXN,97.33,2.6
100.63858651910984,100.7388306764088,SPXV,94.89,2.9
100.67961359702687,100.00150532379237,SPY,450.59,3.3
100.88487081548504,100.66477706163728,SPYX,36.77,2.9
98.87432454971177,100.23919387685777,AAPL,191.43,3.8
101.2744940110194,100.84291294531405,CDNS,242.86,3.0
101.41837441135542,100.94749842552675,CEIX,68.21,4.3
100.63951472629836,100.67412395811043,DECK,537.55,4.8
101.17890519413227,100.10587018094343,DFIN,47.71,5.1
101.27017356325037,100.60584915616856,WINA,359.38,2.9
100.034804392319,101.00562860818283,BLDR,138.73,14.3
103.08999474226597,100.15798860594371,LNG,157.39,6.4
103.2930759680967,101.42422454062057,NRP,56.31,19.9
102.62004849035775,101.75082811741697,ODFL,393.74,21.2
102.3492943073531,101.70113382137664,RS,283.99,11.7
99.95932164555016,98.55668503792883,STLD,99.9,-1.8
103.35393778603944,102.0749231039979,ARCB,108.87,23.7
102.62470578780389,102.40460112921082,CRC,48.71,11.1
100.99710808663673,99.96173506119675,CRVL,213.59,11.3
101.95439574188865,101.38463986973724,MUSA,317.51,10.0
102.00939518774757,100.73680562928202,NUE,163.29,8.5
99.99726081851453,100.89056408520574,NVDA,443.01,3.8
100.18951175697993,98.39640507526104,PBT,23.09,-4.4
101.35467263772891,99.94798620621017,TRI,130.67,5.3
98.6659774565631,97.62319266022752,WIRE,163.39,-6.1
101.19266398612065,100.53655072464127,GWW,765.17,5.0
100.54998138736836,99.26074435235243,NVO,82.04,2.7
102.6850388868656,102.61307463632058,SAIA,402.72,27.5
102.11192075467154,99.55123692046573,ABBV,142.32,4.8
101.60852046367543,99.45894670678514,ASO,54.7,13.2
101.82089690385702,101.5496967575945,CSWI,171.55,6.8
100.67242930017485,99.37843464960822,KAI,211.07,-5.4
100.33188118097779,99.87899972262323,KLAC,456.06,-1.4
100.83865209686306,100.48374678505799,SNPS,454.0,2.9
101.63270888298592,101.71215968051632,BCC,93.72,26.6
100.39337077034715,100.10852546512628,DAC,64.37,0.8
101.94096156885323,101.6041395649358,LECO,207.11,6.4
101.2005792122597,99.03900666957502,PMTS,21.58,-14.8
100.77597222301064,100.98657708268883,AVGO,891.89,3.8
102.06946032792158,100.54996071409491,NSIT,147.61,2.5
101.8640827041361,100.31508556066171,TT,192.53,3.7
103.55118617265794,101.75686897599768,COST,555.79,6.5
99.73470020392561,98.92896966743555,HDSN,8.94,-2.0
103.67313678133867,101.02937215130511,TFII,121.42,14.9
100.95498573777064,98.86128932302445,TSCO,213.53,-1.5
99.58160709659623,101.06215725834923,UFPT,193.58,4.1
103.09531498408768,102.33258389746403,COOP,54.56,13.1
99.4814444282991,100.75450721947435,LMB,25.13,4.3
99.97923203999083,99.89686715237809,RMBS,60.53,0.2
98.96720769937565,99.92550354754057,MSFT,342.35,0.4
102.22168518054033,101.75509415295602,CARR,53.54,15.1
99.53861308732719,100.14291964845253,FIX,164.38,2.0
100.06577672201203,99.91145436102154,ONTO,105.96,1.4
99.98196637645928,99.12827455869599,ORLY,956.23,4.0
100.80827470866033,100.59385546056777,ACLS,175.52,3.8
103.31419882673323,100.59275445819596,ADM,81.2,8.8
100.48102661853645,98.83614676583603,AZO,2457.93,-1.4
101.4495854845317,101.20131648977198,JBL,112.25,6.7
100.01828085870851,100.22246344162386,SPSC,181.39,-1.8
100.94125019460408,100.94032669902295,BRO,70.95,7.5
101.52358008534763,100.49214829302511,RRC,29.85,5.6
99.21517902271893,99.98525456587758,CPRT,45.57,4.4
101.69872412060666,101.32684731899347,ETN,206.04,8.6
99.95987240647996,99.73974107996291,MCK,413.08,2.0
102.56645643415865,99.92693880130118,OBE,6.45,9.7
101.19377272605452,100.98566690637165,PAG,167.73,10.2
100.55789707755409,101.38619710524932,SMCI,303.15,31.4
102.48464000501443,100.83143133624004,MOH,318.47,14.5
100.48381215976762,99.83981551953273,MMC,190.02,5.7
100.80836924813444,98.4372762281893,PGR,124.3,-4.2
100.6495263201537,100.11384941339591,RSG,154.38,6.7
101.54197133272568,100.99307350897162,STN,66.96,5.5
102.03169701331203,101.35365046399798,URI,447.54,11.7
103.72832258889609,100.6517893964481,AR,24.24,7.9
100.8048998904794,100.23714815980175,NVMI,114.62,1.4
