JDK RS Momentum,JDK RS Ratio,Ticker,Price,Change
101.1180129,100.9629874,ACLS,179.85,4.2
100.9883046,101.1023373,AVGO,883.77,11
102.2162858,102.192664,BCC,94.28,27.6
100.627527,101.395776,BLDR,141.16,15.6
102.8494947,102.323363,CARR,53.63,19.3
101.2635905,100.8551665,CDNS,240.74,5
102.7054592,101.6745696,COOP,52.06,6.7
102.7476237,100.6790547,COST,544.67,5.7
100.5283411,101.02892,CPRT,46.82,9.2
101.7683529,101.0720392,CRC,44.88,8.6
101.1366534,100.5941434,CSWI,161.01,3.1
100.832666,100.5576572,DAC,65.18,2.6
101.4812279,101.3679398,DECK,543.48,11.3
101.2728471,100.1610252,DFIN,47.51,2
101.6513064,101.1868182,ETN,201.85,8.6
100.3529704,100.3187704,FIX,163.37,3.6
101.3278601,100.6190797,GWW,759.55,8
101.6489478,101.3924105,JBL,111.46,18
101.0091645,100.590142,KLAC,472.2,2
101.5670945,101.1090247,LECO,199.11,5.2
101.0787572,101.5270082,LMB,26.78,19
100.9180723,100.7576718,MUSA,309.35,8.9
102.2091008,100.0896489,NRP,52.41,10.9
102.5826743,100.8748222,NSIT,149.25,3.6
102.7360127,101.3494579,NUE,166.22,14.9
100.603962,101.2552262,NVDA,454.61,17.3
102.611757,101.3242038,ODFL,377.05,23.5
100.7967852,100.6466958,ONTO,111.78,1.5
101.9299092,101.8795149,PAG,173.2,16.7
102.6985821,101.8611096,RS,280.4,14.5
102.361232,102.0520728,SAIA,364.1,23.5
100.7457365,101.5061848,SMCI,295.38,12.9
101.0324805,100.6987003,SNPS,454.11,3.5
100.9328603,101.1664623,SPSC,189.66,10.2
100.2775281,100.5026807,SPXE,95.78,5
101.1748063,101.1543174,SPXV,94.46,5.4
101.7087807,101.1108842,SPYX,36.56,5.2
102.4584741,101.8716656,STN,67.66,11.4
101.6024713,100.2805892,TRI,131.73,12.3
102.7642674,100.9765116,TT,194.94,11.4
102.2880427,101.4736557,URI,442.6,14.5
